satellite,year,submitted,finished,successful,failed,errors,ncpus_requested,ncpus_used,cpu_used,walltime_used,memory_used,service_units,cpu_utilisation,job_id,stdout_size,stderr_lines,stderr_size,dir_errors
ls8,2015,2017-08-04T14:19:08,2017-08-04T15:22:24,1429,0,0,80,80,30:51:20,00:54:03,57.67GB,72.07,2.92,7405639.r-man2,1059,441422,78262427,
ls5,2007,2017-08-04T09:31:58,2017-08-04T11:56:49,1174,1,3,80,80,15:15:25,00:27:56,45.57GB,37.24,3.05,7398337.r-man2,1059,216259,37430674,
ls5,1993,2017-08-04T07:35:43,2017-08-04T08:22:41,1179,0,0,80,80,17:11:23,00:38:54,46.29GB,51.87,3.77,7395493.r-man2,1059,242088,42045705,
ls5,2003,2017-08-04T08:45:47,2017-08-04T09:33:17,1154,0,0,80,80,10:21:25,00:40:27,42.02GB,53.93,6.51,7397289.r-man2,1059,147037,25060298,
ls8,2014,2017-08-04T14:00:10,2017-08-04T15:18:39,1312,0,0,80,80,26:58:28,00:49:18,55.22GB,65.73,3.05,7404965.r-man2,1059,387320,68426282,
ls7,2009,2017-08-04T12:09:51,2017-08-04T12:43:37,1150,0,0,80,80,20:51:58,00:28:19,49.59GB,37.76,2.26,7402286.r-man2,1058,288328,50580542,
ls5,2004,2017-08-04T08:57:56,2017-08-04T11:44:39,1161,0,0,80,80,19:54:40,00:42:01,47.68GB,56.02,3.52,7397567.r-man2,1059,280766,48960297,
ls5,2009,2017-08-04T09:49:01,2017-08-04T12:04:45,1157,0,0,80,80,16:15:22,00:26:40,47.85GB,35.56,2.73,7398592.r-man2,1058,229818,39857308,
ls5,2010,2017-08-04T09:54:59,2017-08-04T11:59:04,1148,0,0,80,80,10:00:11,00:21:18,40.67GB,28.40,3.55,7398715.r-man2,1058,142156,24240496,
?,?,?,2017-08-04T09:14:34,?,?,0,80,80,00:02:24,00:18:25,0B,24.56,767.36,7397152.r-man2,934,286,22552,/g/data/v10/tmp/pq-stack/ls52001 must contain one .bin file; 
ls5,2011,2017-08-04T10:00:24,2017-08-04T11:11:25,1129,0,0,80,80,09:45:52,00:34:55,40.8GB,46.56,5.96,7398823.r-man2,1059,136390,23160876,
ls7,2005,2017-08-04T11:17:41,2017-08-04T12:03:22,1148,0,0,80,80,20:40:47,00:31:50,48.91GB,42.44,2.57,7401211.r-man2,1059,285340,50320433,
